Date,Clicks,Impressions,CTR,Position
2026-01-20,0,1,0%,98
2026-01-21,0,3,0%,83
2026-01-22,0,1,0%,55
2026-01-23,1,4,25%,30.8
2026-01-24,1,4,25%,29
2026-01-25,0,1,0%,6
2026-01-26,0,15,0%,69.7
2026-01-27,1,191,0.52%,66.4
2026-01-28,0,275,0%,64.1
2026-01-29,0,430,0%,67
2026-01-30,0,347,0%,66.3
2026-01-31,0,361,0%,68.3
2026-02-01,0,641,0%,71.7
2026-02-02,0,272,0%,66.3
2026-02-03,0,449,0%,71.6
2026-02-04,0,374,0%,68
2026-02-05,0,387,0%,69.2
2026-02-06,0,226,0%,68.9
2026-02-07,0,291,0%,66.7
2026-02-08,0,647,0%,71.4
2026-02-09,0,307,0%,64.5
2026-02-10,0,177,0%,61.8
2026-02-11,0,148,0%,57.9
2026-02-12,0,141,0%,61.4
2026-02-13,0,75,0%,76.9
2026-02-14,0,100,0%,75.9
2026-02-15,1,102,0.98%,75.8
2026-02-16,0,76,0%,69.3
2026-02-17,1,93,1.08%,60.1
2026-02-18,1,89,1.12%,69.4
2026-02-19,0,49,0%,62.9
2026-02-20,0,67,0%,69.4
2026-02-21,0,82,0%,67.3
2026-02-22,1,131,0.76%,70.1
2026-02-23,0,35,0%,63.3
2026-02-24,0,39,0%,71.2
2026-02-25,0,25,0%,71.4
2026-02-26,0,12,0%,64.5
2026-02-27,0,20,0%,55.3
2026-02-28,0,28,0%,58
2026-03-01,0,34,0%,63.8
2026-03-02,0,17,0%,22.9
2026-03-03,0,59,0%,64.9
2026-03-04,0,87,0%,70
