Country,Clicks,Impressions,CTR,Position
India,4,573,0.7%,70.71
United States,1,3846,0.03%,69.63
Netherlands,1,51,1.96%,62.33
Mexico,1,17,5.88%,45.06
United Kingdom,0,627,0%,66.82
Canada,0,471,0%,70.5
Australia,0,399,0%,77.6
Ireland,0,99,0%,48.12
Germany,0,95,0%,47.49
Brazil,0,73,0%,59.79
Philippines,0,48,0%,69.46
Vietnam,0,33,0%,42.61
Switzerland,0,31,0%,43.81
Indonesia,0,31,0%,50.1
Spain,0,30,0%,40.03
France,0,29,0%,66.97
Turkey,0,28,0%,41.96
Saudi Arabia,0,25,0%,49.16
Egypt,0,23,0%,44.87
Bangladesh,0,23,0%,73.48
Thailand,0,20,0%,59.1
Argentina,0,19,0%,73.84
Colombia,0,15,0%,48.53
Russia,0,15,0%,82
Ukraine,0,12,0%,64.25
Portugal,0,12,0%,67.5
Belgium,0,12,0%,76.17
Italy,0,11,0%,52.91
Poland,0,10,0%,21.9
Pakistan,0,10,0%,55
Israel,0,10,0%,67.2
United Arab Emirates,0,9,0%,74.78
New Zealand,0,9,0%,90.56
Hong Kong,0,8,0%,32
South Korea,0,8,0%,35.12
Peru,0,8,0%,50.25
Ecuador,0,7,0%,44.71
Venezuela,0,7,0%,58.71
Malaysia,0,7,0%,70.71
Unknown Region,0,7,0%,83
Kenya,0,6,0%,42.33
Romania,0,5,0%,53.4
Bolivia,0,5,0%,54.8
South Africa,0,5,0%,56.2
Algeria,0,5,0%,64.6
Hungary,0,5,0%,64.6
Nigeria,0,5,0%,73.6
Ethiopia,0,5,0%,79.6
Chile,0,4,0%,17.75
Singapore,0,4,0%,27.5
Oman,0,4,0%,38
Iraq,0,4,0%,60.25
Croatia,0,4,0%,65.25
Qatar,0,4,0%,73.75
Morocco,0,4,0%,83
Bulgaria,0,3,0%,50.67
Slovakia,0,3,0%,51.67
Japan,0,3,0%,57
Dominican Republic,0,3,0%,59.33
Greece,0,3,0%,61
Belarus,0,3,0%,63
Serbia,0,3,0%,84.67
Paraguay,0,2,0%,32
Taiwan,0,2,0%,32.5
Czechia,0,2,0%,47.5
Kuwait,0,2,0%,56.5
Zambia,0,2,0%,60
Denmark,0,2,0%,68.5
Botswana,0,2,0%,76.5
Iran,0,2,0%,79.5
Kazakhstan,0,2,0%,81
Cambodia,0,2,0%,84.5
Estonia,0,2,0%,95
Sierra Leone,0,1,0%,2
Austria,0,1,0%,4
Brunei,0,1,0%,5
Jamaica,0,1,0%,6
Georgia,0,1,0%,7
Azerbaijan,0,1,0%,8
Bahrain,0,1,0%,9
Luxembourg,0,1,0%,9
Puerto Rico,0,1,0%,9
Cyprus,0,1,0%,10
Finland,0,1,0%,10
Belize,0,1,0%,11
Laos,0,1,0%,11
Tanzania,0,1,0%,17
China,0,1,0%,19
Mauritania,0,1,0%,48
Maldives,0,1,0%,56
Kyrgyzstan,0,1,0%,67
Armenia,0,1,0%,69
Norway,0,1,0%,69
Moldova,0,1,0%,74
Guatemala,0,1,0%,75
Ghana,0,1,0%,77
El Salvador,0,1,0%,82
Mali,0,1,0%,83
Latvia,0,1,0%,85
Papua New Guinea,0,1,0%,85
Myanmar (Burma),0,1,0%,86
Dominica,0,1,0%,88
Uzbekistan,0,1,0%,89
Benin,0,1,0%,90
Uruguay,0,1,0%,93
Namibia,0,1,0%,96
